0,temp,lat,hum,cloud,wind,lon
kidal,22.28,18.44,9.0,0.0,3.19,1.41
taoudenni,23.0,22.68,9.0,0.0,4.1,-3.98
tessalit,21.67,20.2,8.0,0.0,3.26,1.01
nioro,26.31,13.35,8.0,0.0,2.29,-15.75
saint-louis,25.7,16.33,8.0,0.0,5.2,-15.0
velingara,26.38,13.15,8.0,0.0,1.02,-14.12
